Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,HlsServer.csproj,File,HlsServer.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,HlsServer.csproj,File,Program.cs,52,4,T:System.Uri,,,,,"return Results.Json(new      {          service = ""HLS Video Streamer (Azure Blob)"",          status = (containerExists && manifestExists) ? ""healthy"" : ""degraded"",          mode = ""cloud-storage"",          container = containerName,          blobPrefix,          accountUri = container.Uri.ToString(),          containerExists,          manifestExists,          error,          hlsUrl = ""/hls/master.m3u8"",          playerUrl = ""/player.html"",          markersUrl = ""/hls/eeg-markers.vtt"",          variants = new[] { ""240p"", ""360p"", ""480p"", ""720p"", ""1080p"" },          timestamp = DateTime.UtcNow      });"
